nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;secteur;catégorie;type
Toulouse Métropole;2,43E+13;;;ADIL 31 ASSOC;3,26E+13;Subvention de Fonctionnement;258555.0;aide en numéraire;échelonné;01/12/2023;;non;Juridique;Conseil juridique (logement);Association loi 1901
Toulouse Métropole;2,43E+13;;;ADOMA;7,88E+13;Subvention d'équipement;60000.0;aide en numéraire;unique;11/05/2023;;non;Immobilier;Hébergement social;Société Anonyme (SA)
Toulouse Métropole;2,43E+13;;;AGFCCBM;8,23E+13;Subvention de Fonctionnement;5197.0;aide en numéraire;unique;09/11/2023;;non;Économie sociale et solidaire;Gestion financiere du conseil citoyen Bellefontaine-Mila;Association loi 1901
Toulouse Métropole;2,43E+13;;;AI2F;8,05E+13;Subvention d'équipement;5000.0;aide en numéraire;unique;15/12/2023;;non;Restauration;Pâtisserie;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;AJ CONSTRUCTION;3,49E+13;Subvention d'équipement;1350.0;aide en numéraire;unique;15/12/2023;;non;Bâtiment et travaux publics (BTP);Construction;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;ALISSAR;8,91E+13;Subvention de Fonctionnement;30000.0;aide en numéraire;unique;20/07/2023;;non;Solidarité internationale;Aide humanitaire;Association loi 1901
Toulouse Métropole;2,43E+13;;;AMARIS ANCMRTM ASSOC;4,93E+13;Subvention de Fonctionnement;5500.0;aide en numéraire;unique;26/06/2023;;non;Services sociaux;Aide aux personnes âgées;Association loi 1901
Toulouse Métropole;2,43E+13;;;ESPOIR;3,15E+13;Subvention de Fonctionnement;25000.0;aide en numéraire;unique;21/09/2023;;non;Action sociale;Aide aux personnes en difficulté;Association loi 1901
Toulouse Métropole;2,43E+13;;;UNIS-CITE;3,98E+13;Subvention de Fonctionnement;38500.0;aide en numéraire;échelonné;15/12/2023;;non;Service civique;Engagement des jeunes;Association loi 1901
Toulouse Métropole;2,43E+13;;;ATTILA;4,50E+13;Subvention d'équipement;1000.0;aide en numéraire;unique;18/08/2023;;non;Restauration;Restauration traditionnelle;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;AUTO SERVICES TOULOUSE;8,42E+13;Subvention d'équipement;3000.0;aide en numéraire;unique;24/10/2023;;non;Automobile;Garage ou centre de services automobiles;Société par Actions Simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;AVENIR NOUVELLE MAISON DES CHOMEURS;4,40E+13;Subvention de Fonctionnement;9500.0;aide en numéraire;unique;04/07/2023;;non;Emploi;Insertion professionnelle;Association loi 1901
Toulouse Métropole;2,43E+13;;;BACHIBOUZOUK;8,11E+13;Subvention d'équipement;15000.0;aide en numéraire;unique;20/10/2023;;non;Culture;Musique;Association loi 1901
Toulouse Métropole;2,43E+13;;;BBDG;9,09E+13;Subvention d'équipement;1000.0;aide en numéraire;unique;18/08/2023;;non;Juridique;Cabinet d'avocats;Entreprise privée
Toulouse Métropole;2,43E+13;;;BIO ARIEGE-GARONNE;3,82E+13;Subvention de Fonctionnement;37202.44;aide en numéraire;échelonné;04/12/2023;;non;Agriculture;Agriculture biologique;Association loi 1901
Toulouse Métropole;2,43E+13;;;BRASSERIE CAPORAL;8,25E+13;Subvention d'équipement;300.0;aide en numéraire;unique;07/12/2023;;non;Agroalimentaire;Brasserie artisanale;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DE LA H;3,13E+13;Subvention de Fonctionnement;45400.0;aide en numéraire;échelonné;01/09/2023;;non;Santé;Urgences médicales;Service public
Toulouse Métropole;2,43E+13;;;CENTRE REGIONAL OEUVRES UNIV SCOLAIRES;1,83E+13;Subvention d'équipement;630000.0;aide en numéraire;unique;02/08/2023;;non;Action sociale;Culture et loisirs étudiants;Établissement public
Toulouse Métropole;2,43E+13;;;CITOY'ENR;8,24E+13;Subvention de Fonctionnement;8300.0;aide en numéraire;unique;12/07/2023;;non;Énergie;énergies renouvelables;Société Coopérative d'Intérêt Collectif (SCIC)
